Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,No,Travel_Rarely,Research & Development,3,2,4,Male,4,Healthcare Representative,Divorced,6842,6,No,4,1,1,13,3,3,5,4,0,4
35,No,Non-Travel,Research & Development,2,2,2,Male,3,Manufacturing Director,Divorced,5762,2,No,3,3,1,15,6,3,7,7,1,7
39,No,Travel_Frequently,Sales,20,3,3,Male,3,Sales Executive,Divorced,4127,2,No,3,4,1,7,6,3,2,1,2,2
29,No,Travel_Rarely,Sales,5,3,1,Male,2,Sales Executive,Divorced,4187,1,Yes,3,2,1,10,3,2,10,0,0,9
30,No,Travel_Rarely,Sales,7,4,4,Female,3,Sales Executive,Divorced,4779,7,No,3,2,2,8,3,3,3,2,0,2
34,No,Non-Travel,Sales,23,4,2,Male,3,Sales Executive,Single,4568,0,No,4,3,0,10,2,3,9,5,8,7
35,No,Travel_Rarely,Research & Development,23,4,3,Female,3,Laboratory Technician,Married,4014,3,Yes,3,3,1,4,3,3,2,2,2,2
55,No,Non-Travel,Research & Development,2,1,3,Male,2,Manager,Single,16756,7,No,3,2,0,31,3,4,9,7,6,2
52,No,Travel_Rarely,Research & Development,1,2,4,Male,3,Manager,Married,17099,2,No,3,2,1,26,2,2,9,8,7,8
32,No,Non-Travel,Research & Development,5,4,2,Male,3,Research Scientist,Single,2718,2,No,3,2,0,12,3,3,7,7,0,7
36,No,Travel_Rarely,Sales,1,2,2,Male,3,Sales Executive,Married,6201,1,Yes,3,4,1,18,1,2,18,14,4,11
31,No,Travel_Rarely,Research & Development,4,3,1,Female,4,Laboratory Technician,Divorced,3978,8,No,3,2,1,4,0,2,2,2,2,2
34,No,Non-Travel,Research & Development,26,1,1,Female,2,Research Scientist,Divorced,2029,1,No,4,3,3,5,2,3,5,4,0,0
34,No,Travel_Rarely,Research & Development,8,3,2,Male,4,Laboratory Technician,Married,4404,2,No,3,1,0,6,3,4,4,3,1,2
51,No,Travel_Rarely,Sales,14,2,3,Female,3,Sales Executive,Married,4936,4,No,3,3,1,18,2,2,7,7,0,7
21,No,Non-Travel,Sales,9,2,1,Male,3,Sales Representative,Single,2610,1,No,4,3,0,3,3,2,3,2,2,2
26,Yes,Travel_Frequently,Research & Development,2,3,1,Male,3,Research Scientist,Married,2042,6,Yes,3,2,1,6,2,3,3,2,1,2
20,No,Travel_Rarely,Research & Development,1,3,4,Female,2,Research Scientist,Single,2836,1,No,3,4,0,1,0,4,1,0,0,0
26,No,Travel_Frequently,Research & Development,1,2,1,Female,1,Laboratory Technician,Divorced,4364,3,No,3,1,1,5,2,3,2,2,2,0
51,No,Travel_Rarely,Research & Development,9,4,4,Male,3,Laboratory Technician,Married,2075,3,No,4,2,2,10,4,3,4,2,0,3
25,Yes,Travel_Rarely,Sales,9,2,1,Male,2,Sales Representative,Married,4400,3,No,3,1,0,6,2,3,3,2,2,2
38,No,Travel_Rarely,Research & Development,3,5,4,Female,3,Research Scientist,Single,4317,3,Yes,4,2,0,19,2,3,3,2,2,2
58,No,Travel_Rarely,Sales,21,3,4,Female,3,Manager,Married,17875,4,Yes,3,3,1,29,2,2,1,0,0,0
30,No,Travel_Rarely,Research & Development,2,3,3,Female,1,Manufacturing Director,Single,6091,2,No,4,3,0,11,2,3,5,4,0,2
29,No,Travel_Rarely,Sales,2,3,1,Male,2,Sales Executive,Married,6644,2,No,3,2,2,10,2,3,0,0,0,0
41,No,Travel_Rarely,Research & Development,12,4,2,Male,3,Laboratory Technician,Married,4766,3,Yes,3,1,1,6,4,3,1,0,0,0
27,No,Non-Travel,Research & Development,3,3,4,Male,3,Research Scientist,Married,1706,1,No,3,3,3,0,6,2,0,0,0,0
35,No,Travel_Rarely,Research & Development,9,3,4,Female,2,Manufacturing Director,Married,10685,1,Yes,4,2,1,17,2,3,17,14,5,15
29,No,Travel_Rarely,Research & Development,15,1,2,Female,1,Research Scientist,Married,2168,0,Yes,3,1,1,6,2,2,5,4,1,3
30,No,Travel_Frequently,Research & Development,5,4,2,Male,2,Research Scientist,Divorced,3761,9,No,3,2,1,10,3,2,5,4,0,3
40,No,Travel_Rarely,Sales,26,3,3,Male,3,Sales Executive,Married,8396,1,No,3,2,1,8,3,2,7,7,7,5
40,No,Travel_Rarely,Research & Development,10,4,4,Female,4,Laboratory Technician,Married,2213,3,Yes,3,3,1,10,3,3,7,7,1,7
42,No,Travel_Rarely,Research & Development,17,2,4,Female,4,Research Scientist,Single,6545,3,Yes,3,3,0,10,1,3,3,2,0,2
32,No,Travel_Frequently,Research & Development,24,4,1,Male,3,Laboratory Technician,Married,5309,1,No,3,4,2,10,2,3,10,8,4,7
32,No,Travel_Rarely,Sales,2,1,3,Male,3,Sales Executive,Married,4078,0,Yes,3,1,3,4,3,2,3,2,1,2
35,No,Travel_Rarely,Research & Development,1,4,4,Female,4,Research Scientist,Single,2506,3,No,3,3,0,7,0,3,2,2,2,2
30,Yes,Travel_Frequently,Research & Development,5,3,2,Female,3,Laboratory Technician,Single,2422,0,No,3,1,0,4,3,3,3,2,1,2
47,No,Non-Travel,Research & Development,14,4,3,Male,3,Research Scientist,Married,5467,8,No,3,3,1,16,4,4,8,7,1,7
39,No,Travel_Frequently,Research & Development,2,4,3,Female,3,Healthcare Representative,Single,10938,0,No,4,4,0,20,1,3,19,6,11,8
36,No,Travel_Frequently,Research & Development,18,1,2,Female,3,Laboratory Technician,Single,2153,1,No,3,1,0,8,2,3,8,1,1,7
44,No,Travel_Rarely,Sales,28,3,4,Female,4,Sales Executive,Married,13320,3,Yes,3,3,1,23,2,3,12,11,11,11
27,No,Travel_Rarely,Research & Development,4,3,2,Female,3,Research Scientist,Single,2318,1,No,3,3,0,1,2,3,1,1,0,0
26,No,Travel_Frequently,Research & Development,6,3,3,Male,4,Laboratory Technician,Married,2544,0,No,3,1,1,8,3,3,7,7,7,7
20,No,Travel_Rarely,Research & Development,3,3,1,Male,2,Laboratory Technician,Single,3033,1,No,3,1,0,2,2,2,2,2,1,2
29,No,Travel_Rarely,Research & Development,19,3,4,Male,3,Manufacturing Director,Divorced,4262,4,No,3,2,2,8,2,4,3,2,1,2
39,No,Travel_Rarely,Research & Development,13,4,3,Female,2,Manager,Divorced,17123,6,Yes,3,4,2,21,4,3,19,9,15,2
29,Yes,Travel_Rarely,Research & Development,8,4,2,Male,1,Laboratory Technician,Married,2119,1,Yes,3,4,0,7,4,2,7,7,0,7
53,No,Travel_Rarely,Sales,1,1,4,Female,3,Sales Executive,Single,8381,7,No,4,4,0,18,2,4,14,7,8,10
50,Yes,Travel_Frequently,Sales,8,2,2,Male,3,Sales Executive,Married,6796,3,Yes,3,1,1,18,4,3,4,3,1,3
54,No,Travel_Rarely,Research & Development,17,3,3,Female,3,Manufacturing Director,Married,10739,8,No,3,3,1,22,2,3,10,7,0,8
40,No,Travel_Rarely,Sales,10,4,1,Male,2,Sales Executive,Divorced,9705,2,No,3,2,1,11,2,2,1,0,0,0
31,Yes,Travel_Frequently,Research & Development,1,5,3,Female,4,Manufacturing Director,Single,7446,1,No,3,1,0,10,2,3,10,8,4,7
35,No,Travel_Rarely,Research & Development,2,3,3,Male,2,Manufacturing Director,Divorced,10274,2,No,3,2,1,15,2,4,7,7,6,4
38,No,Non-Travel,Human Resources,2,3,1,Male,3,Human Resources,Divorced,2592,5,No,3,4,3,13,3,3,11,10,3,8
54,No,Travel_Rarely,Research & Development,2,4,1,Female,3,Research Director,Married,13549,9,No,3,1,1,16,5,1,4,3,0,3
31,No,Travel_Rarely,Human Resources,8,2,4,Female,4,Human Resources,Single,2109,9,No,3,4,0,8,3,3,3,2,0,2
25,No,Travel_Rarely,Sales,8,3,4,Male,4,Sales Executive,Married,4851,0,No,4,3,1,4,4,3,3,2,1,2
35,No,Travel_Rarely,Human Resources,8,4,3,Male,3,Human Resources,Single,4323,1,No,3,2,0,6,2,1,5,4,1,4
38,No,Travel_Rarely,Research & Development,10,3,2,Female,1,Research Director,Married,13206,3,No,3,1,1,20,3,3,18,16,1,11
51,No,Travel_Rarely,Research & Development,8,4,2,Male,2,Research Director,Married,12490,5,No,3,4,2,16,5,1,10,9,4,7
45,No,Travel_Rarely,Research & Development,7,3,1,Female,3,Research Scientist,Married,4477,4,Yes,3,3,1,7,2,2,3,2,0,2
18,No,Non-Travel,Research & Development,14,3,2,Female,3,Research Scientist,Single,1514,1,No,3,3,0,0,4,1,0,0,0,0
46,No,Travel_Rarely,Sales,3,1,1,Male,3,Manager,Married,17465,3,No,3,4,1,23,3,3,12,9,4,9
38,No,Travel_Rarely,Sales,2,2,2,Female,3,Sales Executive,Divorced,6893,3,No,3,4,1,11,3,3,7,7,1,7
31,Yes,Travel_Rarely,Human Resources,18,5,4,Male,4,Human Resources,Married,2956,0,No,3,3,0,2,4,3,1,0,0,0
43,No,Travel_Frequently,Research & Development,10,4,3,Female,2,Laboratory Technician,Divorced,5257,1,No,3,2,1,9,3,4,9,7,0,0
34,No,Travel_Frequently,Research & Development,15,3,2,Male,3,Research Director,Divorced,17007,7,No,3,4,2,16,3,2,14,8,6,9
38,No,Travel_Rarely,Research & Development,2,3,4,Male,3,Research Scientist,Single,3944,5,Yes,3,3,0,6,3,3,3,2,1,2
28,No,Travel_Rarely,Research & Development,2,1,1,Male,2,Research Scientist,Married,3201,0,No,3,1,0,6,2,1,5,3,0,4
53,No,Travel_Rarely,Research & Development,3,4,3,Male,3,Research Director,Married,17584,3,Yes,3,4,3,21,5,2,5,3,1,3
31,No,Travel_Rarely,Sales,5,3,1,Male,3,Sales Executive,Married,8346,1,No,3,3,1,6,3,3,5,2,0,2
43,No,Travel_Rarely,Sales,16,3,4,Female,3,Manager,Married,16064,5,Yes,4,3,1,22,3,3,17,13,1,9
28,No,Travel_Frequently,Research & Development,1,4,4,Male,3,Laboratory Technician,Single,2154,0,Yes,3,3,0,5,2,2,4,2,0,2
27,No,Travel_Rarely,Research & Development,19,3,4,Male,2,Laboratory Technician,Divorced,4066,1,No,3,1,2,7,3,3,7,7,0,7
31,Yes,Travel_Frequently,Sales,1,4,2,Female,1,Sales Representative,Single,1359,1,No,3,2,0,1,3,3,1,0,0,0
42,No,Travel_Rarely,Sales,8,4,3,Male,3,Sales Executive,Married,6825,0,No,3,4,1,10,2,3,9,7,4,2
34,No,Travel_Rarely,Research & Development,2,4,4,Male,4,Research Scientist,Married,2932,0,Yes,3,1,3,6,3,3,5,0,1,2
30,No,Travel_Rarely,Research & Development,18,3,1,Female,3,Research Scientist,Single,2632,1,No,3,3,0,5,4,2,5,4,0,4
30,No,Travel_Rarely,Research & Development,7,3,2,Male,2,Research Scientist,Married,2141,1,No,3,2,1,6,3,2,6,4,1,1
53,No,Travel_Rarely,Research & Development,7,2,4,Female,3,Manager,Divorced,18606,3,No,3,2,1,26,6,3,7,7,4,7
32,No,Travel_Rarely,Research & Development,10,3,3,Male,3,Manager,Single,11244,2,No,4,2,0,10,5,4,5,2,0,0
36,No,Travel_Frequently,Research & Development,23,2,3,Male,4,Laboratory Technician,Married,2571,4,No,3,3,1,17,3,3,5,2,0,3
31,Yes,Travel_Rarely,Research & Development,8,3,1,Female,2,Research Scientist,Single,1261,1,No,3,3,0,1,3,4,1,0,0,0
35,No,Travel_Frequently,Sales,11,2,4,Male,3,Sales Executive,Divorced,4968,1,No,3,4,1,5,3,3,5,2,0,2
55,No,Travel_Rarely,Research & Development,8,3,4,Female,3,Manager,Divorced,14756,2,Yes,3,3,3,21,2,3,5,0,0,2
34,No,Travel_Rarely,Research & Development,3,3,4,Female,3,Research Scientist,Divorced,5433,1,No,3,3,1,11,2,3,11,8,7,9
20,No,Travel_Rarely,Sales,21,3,3,Male,4,Sales Representative,Single,2678,1,No,3,4,0,2,2,3,2,1,2,2
30,No,Non-Travel,Research & Development,9,3,3,Male,3,Laboratory Technician,Divorced,3072,1,No,3,3,2,12,4,3,12,9,6,10
34,No,Travel_Rarely,Research & Development,6,4,3,Female,2,Research Scientist,Divorced,4505,6,No,3,3,1,12,3,3,1,0,0,0
24,No,Travel_Rarely,Research & Development,18,1,2,Male,3,Laboratory Technician,Married,2774,0,No,3,3,1,6,2,3,5,3,1,2
36,No,Travel_Frequently,Research & Development,4,2,4,Female,3,Manufacturing Director,Divorced,5131,7,No,3,2,3,18,3,3,4,2,0,2
50,No,Travel_Rarely,Research & Development,7,2,2,Female,2,Research Director,Divorced,18740,5,Yes,3,4,1,29,2,2,27,3,13,8
50,No,Travel_Rarely,Research & Development,1,3,3,Male,2,Laboratory Technician,Married,3690,2,No,3,4,1,5,2,2,3,2,0,2
25,No,Travel_Rarely,Sales,8,2,1,Female,3,Sales Executive,Divorced,4907,0,Yes,4,2,1,6,3,2,5,3,0,4
36,No,Travel_Rarely,Research & Development,9,2,2,Male,2,Manufacturing Director,Divorced,8847,2,Yes,3,3,1,13,2,3,3,2,0,2
27,No,Travel_Rarely,Research & Development,8,3,2,Female,4,Research Scientist,Married,3517,7,No,3,1,0,5,0,3,3,2,0,2
33,No,Travel_Rarely,Sales,1,3,1,Male,4,Sales Executive,Divorced,4037,1,No,4,1,1,9,5,3,9,8,0,8
28,No,Travel_Rarely,Research & Development,1,3,1,Male,2,Research Scientist,Divorced,1563,1,No,3,4,1,1,2,1,1,0,0,0
53,No,Travel_Rarely,Sales,7,2,1,Female,2,Sales Executive,Married,10934,7,Yes,3,4,1,35,3,3,5,2,0,4
31,Yes,Travel_Rarely,Research & Development,22,4,4,Male,3,Manufacturing Director,Married,6179,1,Yes,3,4,2,10,3,2,10,2,6,7
32,No,Travel_Frequently,Sales,10,4,4,Male,3,Sales Executive,Single,4648,8,No,3,3,0,4,2,4,0,0,0,0
28,Yes,Travel_Frequently,Research & Development,2,2,3,Male,2,Laboratory Technician,Single,2561,7,No,3,3,0,8,2,2,0,0,0,0
35,No,Travel_Rarely,Research & Development,6,4,2,Male,1,Research Scientist,Single,6646,1,No,3,2,0,17,3,3,17,11,11,8
26,Yes,Travel_Rarely,Research & Development,24,3,3,Male,1,Laboratory Technician,Single,2340,1,Yes,3,2,0,1,3,1,1,0,0,0
27,No,Travel_Rarely,Sales,2,2,1,Female,4,Sales Executive,Single,6500,0,No,3,2,0,9,5,2,8,7,0,7
31,No,Travel_Rarely,Research & Development,20,3,2,Male,3,Laboratory Technician,Divorced,4197,1,No,3,1,1,10,2,3,10,8,0,2
27,No,Travel_Rarely,Research & Development,2,4,2,Male,3,Research Scientist,Married,2226,1,No,3,3,1,6,3,2,5,3,1,2
33,No,Travel_Rarely,Research & Development,14,3,4,Female,3,Research Scientist,Married,2756,1,No,3,4,1,8,5,3,8,7,1,6
42,No,Travel_Frequently,Research & Development,29,2,1,Female,3,Research Scientist,Divorced,4556,2,No,3,2,1,19,3,3,5,4,0,2
46,Yes,Travel_Rarely,Sales,9,3,1,Male,3,Sales Executive,Divorced,10096,4,No,3,1,1,28,1,4,7,7,4,3
29,No,Travel_Rarely,Research & Development,4,3,4,Female,2,Research Scientist,Divorced,2109,1,No,3,3,1,1,2,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,4,1,Male,2,Manufacturing Director,Divorced,5993,1,No,3,3,1,7,2,4,7,5,0,7
25,No,Travel_Rarely,Sales,18,1,1,Male,4,Sales Executive,Married,6232,2,No,3,2,0,6,3,2,3,2,1,2
27,No,Travel_Frequently,Research & Development,15,3,4,Female,2,Research Scientist,Married,4774,0,No,3,4,1,8,2,2,7,6,7,3
41,No,Non-Travel,Sales,10,2,3,Male,1,Sales Executive,Single,6151,1,No,3,1,0,19,4,3,19,2,11,9
34,No,Travel_Frequently,Research & Development,10,4,3,Male,4,Manufacturing Director,Divorced,4724,1,No,3,1,1,9,3,3,9,7,7,2
45,No,Travel_Rarely,Research & Development,8,4,4,Male,3,Research Scientist,Married,3697,9,No,3,1,2,12,3,3,10,9,9,8
43,No,Non-Travel,Research & Development,9,3,1,Male,3,Research Scientist,Single,2438,4,No,3,3,0,7,2,2,3,2,1,2
23,No,Travel_Rarely,Sales,2,1,3,Male,3,Sales Representative,Divorced,2322,3,No,3,3,1,3,3,3,0,0,0,0
55,No,Travel_Rarely,Sales,26,5,3,Male,2,Manager,Married,19586,1,No,4,3,1,36,3,3,36,6,2,13
31,Yes,Non-Travel,Research & Development,9,2,3,Male,2,Research Scientist,Single,2321,0,Yes,4,1,0,4,0,3,3,2,1,2
23,Yes,Travel_Rarely,Research & Development,6,3,3,Male,4,Laboratory Technician,Married,1601,1,Yes,4,3,2,1,2,3,0,0,0,0
34,No,Travel_Rarely,Sales,21,4,4,Male,4,Sales Executive,Single,5337,1,No,3,4,0,10,3,3,10,7,5,7
46,No,Travel_Rarely,Research & Development,2,3,1,Male,3,Research Director,Married,17861,6,No,3,3,0,26,2,1,3,2,0,1
39,No,Travel_Rarely,Research & Development,10,1,3,Male,3,Manager,Married,17068,1,Yes,3,4,0,21,3,3,21,9,11,10
39,No,Travel_Rarely,Research & Development,2,4,4,Female,2,Healthcare Representative,Single,4553,1,No,3,1,0,20,4,3,20,7,11,10
30,No,Travel_Frequently,Research & Development,1,2,3,Female,3,Laboratory Technician,Single,4011,1,No,4,4,0,12,2,3,12,8,3,7
24,No,Non-Travel,Sales,13,2,4,Female,3,Sales Representative,Married,2033,1,No,3,3,1,1,2,3,1,0,0,0
27,Yes,Travel_Rarely,Sales,2,1,3,Male,3,Sales Representative,Divorced,3041,0,No,3,2,1,5,3,3,4,3,0,2
45,No,Travel_Rarely,Research & Development,10,2,1,Male,3,Research Scientist,Married,2654,3,No,4,4,2,8,3,2,2,2,0,2
59,No,Travel_Rarely,Research & Development,3,3,3,Male,2,Research Scientist,Married,2177,3,No,3,1,1,7,6,3,1,0,0,0
39,No,Travel_Frequently,Research & Development,22,3,4,Female,3,Manufacturing Director,Single,10880,1,Yes,3,3,0,21,2,3,21,6,2,8
27,No,Travel_Rarely,Sales,2,3,4,Male,3,Sales Executive,Single,4478,1,Yes,3,1,0,5,3,3,5,4,0,4
19,Yes,Travel_Rarely,Research & Development,2,3,2,Male,2,Laboratory Technician,Single,1102,1,No,4,3,0,1,3,2,1,0,1,0
34,No,Travel_Frequently,Research & Development,2,1,4,Male,2,Manufacturing Director,Married,9547,1,No,3,3,0,10,2,2,10,9,1,9
46,No,Travel_Rarely,Research & Development,15,2,4,Male,3,Research Director,Married,19081,5,No,3,1,1,25,2,3,4,2,0,3
35,No,Travel_Rarely,Research & Development,22,3,4,Male,1,Laboratory Technician,Single,4230,0,No,3,3,0,6,2,3,5,4,4,3
37,No,Travel_Frequently,Sales,21,2,3,Female,3,Sales Representative,Married,2973,5,No,3,2,1,10,3,3,5,4,0,0
20,No,Travel_Rarely,Sales,9,1,4,Male,3,Sales Representative,Single,2728,1,No,3,1,0,2,3,3,2,2,0,2
35,No,Travel_Rarely,Sales,18,3,3,Female,3,Sales Executive,Married,4601,1,No,3,2,0,5,3,3,5,2,1,0
30,No,Non-Travel,Research & Development,9,2,3,Female,3,Manufacturing Director,Single,4695,7,Yes,3,3,0,10,3,3,8,4,1,7
35,No,Travel_Rarely,Research & Development,8,1,4,Male,4,Laboratory Technician,Married,2269,1,No,3,4,0,1,2,3,1,0,0,1
32,No,Travel_Rarely,Sales,10,3,4,Male,3,Sales Executive,Single,5396,1,No,3,4,0,10,2,2,10,7,0,8
30,No,Travel_Rarely,Research & Development,9,2,4,Male,2,Laboratory Technician,Single,2206,1,No,3,1,0,10,5,3,10,0,1,8
59,No,Non-Travel,Human Resources,2,4,3,Female,2,Manager,Married,18844,9,No,4,4,1,30,3,3,3,2,2,2
26,No,Travel_Frequently,Sales,1,3,3,Male,2,Sales Executive,Single,4294,1,No,3,2,0,7,2,3,7,7,0,7
20,Yes,Travel_Rarely,Research & Development,11,3,4,Female,2,Research Scientist,Single,2600,1,Yes,3,1,0,1,2,3,1,0,0,0
44,Yes,Travel_Rarely,Research & Development,10,4,3,Male,3,Research Scientist,Single,2936,1,Yes,3,3,0,6,4,3,6,4,0,2
35,No,Travel_Rarely,Sales,7,1,4,Male,3,Sales Representative,Married,2404,1,No,3,1,1,1,3,3,1,0,0,0
25,Yes,Travel_Frequently,Sales,24,1,3,Male,1,Sales Representative,Single,1118,1,Yes,3,4,0,1,4,3,1,0,1,0
48,Yes,Travel_Frequently,Sales,7,2,4,Female,3,Sales Representative,Married,2655,2,Yes,3,3,2,19,3,3,9,7,7,7
32,No,Travel_Rarely,Sales,19,3,4,Male,1,Sales Executive,Married,9610,3,No,3,3,1,10,2,1,4,3,0,2
26,No,Travel_Rarely,Research & Development,3,4,1,Male,4,Laboratory Technician,Married,4420,1,No,4,2,1,8,2,3,8,7,0,7
33,No,Travel_Rarely,Sales,10,4,2,Male,3,Sales Executive,Single,5487,1,No,3,2,0,10,2,2,10,4,0,9
33,No,Travel_Rarely,Sales,2,4,4,Male,3,Sales Executive,Divorced,5505,1,No,3,3,2,6,5,3,6,2,0,4
38,No,Travel_Rarely,Sales,7,2,1,Female,4,Sales Executive,Divorced,5605,1,Yes,4,3,1,8,3,3,8,0,7,7
27,No,Non-Travel,Research & Development,3,3,3,Male,2,Research Scientist,Divorced,2566,1,Yes,3,4,1,1,2,2,1,1,0,1
28,Yes,Travel_Rarely,Research & Development,24,3,3,Male,3,Laboratory Technician,Married,2408,1,Yes,3,3,3,1,3,3,1,1,0,0
32,No,Travel_Rarely,Research & Development,1,3,1,Male,3,Manufacturing Director,Married,6162,1,Yes,4,2,1,9,3,3,9,8,7,8
30,Yes,Travel_Rarely,Sales,9,3,2,Male,3,Sales Representative,Single,1081,1,No,3,3,0,1,3,2,1,0,0,0
33,No,Travel_Frequently,Research & Development,3,4,4,Female,3,Research Scientist,Married,2909,1,Yes,3,3,0,8,3,3,8,7,3,0
48,No,Non-Travel,Research & Development,1,4,1,Male,4,Manager,Single,16885,2,No,4,3,0,27,3,2,5,4,2,1
31,No,Travel_Rarely,Research & Development,12,3,4,Female,3,Healthcare Representative,Married,5855,0,Yes,3,3,2,10,2,1,9,7,8,5
34,No,Travel_Rarely,Research & Development,10,3,2,Male,3,Laboratory Technician,Divorced,2008,1,No,3,2,2,1,3,3,1,0,1,0
48,No,Travel_Rarely,Research & Development,1,4,4,Female,2,Manager,Married,15402,7,No,3,1,1,21,3,1,3,2,0,2
40,No,Travel_Rarely,Sales,2,2,2,Female,3,Sales Executive,Married,5677,3,No,3,3,1,15,4,3,11,8,5,10
42,No,Travel_Rarely,Research & Development,8,3,4,Male,3,Laboratory Technician,Single,3968,4,No,3,4,0,8,3,3,0,0,0,0
30,No,Travel_Rarely,Sales,4,2,3,Female,2,Sales Executive,Divorced,5209,1,Yes,3,2,3,11,4,2,11,8,2,7
37,No,Travel_Rarely,Research & Development,1,3,2,Female,3,Manufacturing Director,Single,7491,4,No,3,4,0,12,3,4,6,5,1,2
45,No,Travel_Rarely,Research & Development,9,3,2,Male,3,Laboratory Technician,Divorced,2348,8,No,3,3,1,20,2,1,17,9,0,15
51,No,Travel_Frequently,Research & Development,6,2,2,Female,2,Laboratory Technician,Single,2838,0,No,3,2,0,8,6,2,7,0,7,7
21,Yes,Travel_Rarely,Research & Development,10,3,3,Female,2,Laboratory Technician,Single,1416,1,No,3,1,0,1,6,2,1,0,1,0
42,No,Travel_Frequently,Research & Development,2,1,2,Male,3,Research Scientist,Single,2515,5,Yes,3,4,0,8,2,3,2,1,2,2
24,No,Non-Travel,Research & Development,4,1,1,Male,2,Laboratory Technician,Married,3162,0,No,3,4,0,6,2,2,5,2,3,4
50,Yes,Travel_Frequently,Sales,1,4,2,Male,3,Sales Executive,Divorced,6728,7,No,3,4,2,12,3,3,6,3,0,1
27,No,Travel_Rarely,Research & Development,11,1,2,Male,3,Laboratory Technician,Married,2099,0,No,3,2,0,6,3,4,5,0,1,4
29,Yes,Travel_Rarely,Research & Development,18,1,3,Male,2,Research Scientist,Single,2389,1,Yes,3,3,0,4,3,2,4,3,0,1
29,No,Travel_Rarely,Research & Development,23,3,4,Male,3,Research Scientist,Single,2201,9,No,3,4,0,6,4,3,3,2,1,2
38,No,Travel_Rarely,Research & Development,2,2,4,Female,2,Manufacturing Director,Married,7756,3,Yes,3,4,1,10,6,4,5,4,0,2
19,Yes,Travel_Rarely,Sales,21,3,4,Male,2,Sales Representative,Single,2121,1,Yes,3,2,0,1,3,4,1,0,0,0
54,No,Travel_Rarely,Sales,2,4,3,Female,2,Sales Executive,Married,10686,6,No,3,2,1,13,4,3,9,4,7,0
28,Yes,Travel_Rarely,Sales,13,2,4,Female,3,Sales Executive,Single,9854,3,Yes,3,4,0,6,0,3,2,0,2,2
24,No,Travel_Rarely,Research & Development,9,3,3,Male,4,Research Scientist,Married,4401,1,No,3,4,1,5,1,3,5,3,0,4
43,Yes,Travel_Rarely,Sales,9,3,1,Female,1,Sales Executive,Single,5346,8,No,3,2,0,7,2,2,4,3,1,3
51,No,Travel_Frequently,Sales,2,3,2,Male,3,Sales Executive,Married,10596,2,No,3,2,0,14,5,3,4,2,3,2
30,Yes,Travel_Frequently,Human Resources,8,3,3,Female,2,Human Resources,Divorced,2180,6,No,3,3,1,6,0,2,4,2,1,2
33,No,Travel_Frequently,Sales,10,3,2,Male,2,Sales Executive,Single,4682,3,No,3,3,0,9,6,2,7,7,0,1
24,No,Travel_Rarely,Sales,10,4,4,Female,3,Sales Executive,Divorced,4260,1,Yes,3,4,1,5,2,4,5,2,0,3
28,No,Travel_Rarely,Research & Development,16,2,2,Male,4,Healthcare Representative,Single,5661,0,No,3,3,0,9,2,3,8,3,0,7
32,No,Travel_Frequently,Sales,9,2,4,Male,1,Sales Executive,Divorced,4668,0,No,3,4,3,9,2,4,8,7,0,7
25,No,Travel_Rarely,Sales,4,1,3,Male,2,Sales Executive,Married,4256,1,No,3,1,0,5,1,4,5,2,0,3
55,No,Non-Travel,Research & Development,8,1,4,Male,2,Healthcare Representative,Divorced,13577,1,Yes,3,4,1,34,3,3,33,9,15,0
41,No,Travel_Rarely,Human Resources,1,3,4,Male,2,Manager,Married,19189,1,No,3,2,1,22,3,3,22,7,2,10
33,No,Travel_Frequently,Sales,1,3,3,Female,4,Sales Executive,Married,5376,2,No,3,1,2,10,3,3,5,3,1,3
46,No,Travel_Rarely,Sales,2,3,3,Female,1,Manager,Married,16872,3,Yes,3,2,1,28,2,2,7,7,7,7
41,No,Travel_Frequently,Research & Development,9,3,1,Male,3,Research Director,Divorced,19419,2,No,3,2,1,21,2,4,18,16,0,11
42,No,Travel_Frequently,Research & Development,5,2,2,Male,3,Laboratory Technician,Married,2093,4,No,3,4,1,8,4,3,2,2,2,0
36,No,Travel_Rarely,Research & Development,5,2,4,Male,3,Laboratory Technician,Single,5914,8,No,3,4,0,16,3,4,13,11,3,7
38,No,Travel_Frequently,Research & Development,2,4,1,Female,4,Manufacturing Director,Single,5980,6,Yes,3,4,0,17,2,3,15,7,4,12
29,No,Non-Travel,Sales,2,3,4,Male,3,Sales Executive,Married,4649,1,No,3,1,1,4,3,2,4,3,0,2
34,No,Travel_Rarely,Sales,1,3,1,Male,3,Sales Executive,Single,9888,1,No,4,1,0,14,3,2,14,8,2,1
35,No,Travel_Rarely,Research & Development,1,4,3,Female,1,Research Scientist,Married,2977,1,No,3,4,1,4,5,3,4,3,1,1
23,Yes,Travel_Frequently,Sales,9,3,4,Male,3,Sales Representative,Married,1790,1,No,3,1,1,1,3,2,1,0,1,0
